sample	study
GTEX.145MN.1426.SM.5SI9H	GTEX
GTEX.SNOS.0926.SM.4DM7A	GTEX
GTEX.ZDYS.2526.SM.4WKGU	GTEX
GTEX.Q2AI.0426.SM.48U13	GTEX
GTEX.V955.0326.SM.4JBGV	GTEX
GTEX.XXEK.1726.SM.4BRVB	GTEX
GTEX.11LCK.0226.SM.5A5M6	GTEX
GTEX.ZAB4.1726.SM.5HL8C	GTEX
GTEX.XQ8I.1926.SM.4BOOK	GTEX
GTEX.WFJO.0626.SM.4LVMC	GTEX
GTEX.13FTW.0526.SM.5IFIP	GTEX
GTEX.ZYW4.2126.SM.59HJ9	GTEX
GTEX.S3XE.0526.SM.4AD4G	GTEX
GTEX.ZEX8.1026.SM.4WKHE	GTEX
GTEX.13O61.2126.SM.5IJEO	GTEX
GTEX.XMK1.0326.SM.4B652	GTEX
GTEX.X3Y1.0726.SM.3P5YU	GTEX
GTEX.111YS.1226.SM.5EGGJ	GTEX
GTEX.11EQ9.1026.SM.5H134	GTEX
GTEX.WHWD.0726.SM.4OORX	GTEX
GTEX.S33H.1226.SM.4AD69	GTEX
GTEX.1339X.1026.SM.5IFH5	GTEX
GTEX.PW2O.0826.SM.48TC5	GTEX
GTEX.117YX.0226.SM.5EGH6	GTEX
GTEX.14ICL.1126.SM.5S2RE	GTEX
GTEX.OOBJ.1026.SM.3NB2L	GTEX
GTEX.11NSD.0526.SM.5A5LT	GTEX
GTEX.13YAN.2126.SM.5Q5C4	GTEX
GTEX.1399R.0426.SM.5IJE3	GTEX
GTEX.QV31.0226.SM.447BO	GTEX
GTEX.ZT9W.0926.SM.57WFS	GTEX
GTEX.111CU.0526.SM.5EGHK	GTEX
GTEX.SUCS.1426.SM.4DM5W	GTEX
GTEX.S95S.0726.SM.4B64H	GTEX
GTEX.PSDG.1526.SM.48TCY	GTEX
GTEX.OOBK.1026.SM.48TC2	GTEX
GTEX.ZLFU.0726.SM.57WF6	GTEX
GTEX.RM2N.0326.SM.48FD8	GTEX
GTEX.QLQW.0326.SM.447A8	GTEX
GTEX.T8EM.0826.SM.4DM76	GTEX
GTEX.QV44.0426.SM.4R1KF	GTEX
GTEX.WH7G.0826.SM.4LVMR	GTEX
GTEX.WHPG.0326.SM.4M1XV	GTEX
GTEX.QEL4.1326.SM.447AD	GTEX
GTEX.QESD.0226.SM.447BH	GTEX
GTEX.TKQ2.0426.SM.4DXUO	GTEX
GTEX.VUSG.0326.SM.3GIJ7	GTEX
GTEX.11ONC.0526.SM.5BC57	GTEX
TCGA.3E.AAAZ.01	TCGA
TCGA.HV.A5A6.01	TCGA
TCGA.IB.7645.01	TCGA
TCGA.IB.7888.01	TCGA
TCGA.FB.AAPQ.01	TCGA
TCGA.FB.AAPY.01	TCGA
TCGA.IB.7891.01	TCGA
TCGA.3A.A9IC.01	TCGA
TCGA.FB.A545.01	TCGA
TCGA.S4.A8RP.01	TCGA
TCGA.US.A774.01	TCGA
TCGA.2J.AABF.01	TCGA
TCGA.2L.AAQE.01	TCGA
TCGA.IB.7647.01	TCGA
TCGA.HZ.7289.01	TCGA
TCGA.2J.AABV.01	TCGA
TCGA.3A.A9I9.01	TCGA
TCGA.2J.AAB9.01	TCGA
TCGA.HZ.7925.01	TCGA
TCGA.2J.AABA.01	TCGA
TCGA.IB.7651.01	TCGA
TCGA.IB.7890.01	TCGA
TCGA.HZ.8003.01	TCGA
TCGA.HZ.7919.01	TCGA
TCGA.F2.7273.01	TCGA
TCGA.US.A77J.01	TCGA
TCGA.HZ.8636.01	TCGA
TCGA.HV.AA8X.01	TCGA
TCGA.HZ.7926.01	TCGA
TCGA.HZ.8637.01	TCGA
TCGA.US.A779.01	TCGA
TCGA.FB.A5VM.01	TCGA
TCGA.IB.7897.01	TCGA
TCGA.FB.AAPP.01	TCGA
TCGA.IB.7889.01	TCGA
TCGA.IB.7654.01	TCGA
TCGA.FB.AAQ0.01	TCGA
TCGA.PZ.A5RE.01	TCGA
TCGA.IB.7649.01	TCGA
TCGA.RB.A7B8.01	TCGA
TCGA.IB.A5SS.01	TCGA
TCGA.3A.A9IU.01	TCGA
TCGA.US.A77E.01	TCGA
TCGA.H6.A45N.01	TCGA
TCGA.2L.AAQJ.01	TCGA
TCGA.IB.7644.01	TCGA
TCGA.LB.A7SX.01	TCGA
TCGA.FB.AAPU.01	TCGA
TCGA.HZ.8317.01	TCGA
TCGA.FB.A78T.01	TCGA
TCGA.XD.AAUI.01	TCGA
TCGA.HZ.8002.01	TCGA
TCGA.IB.A5SO.01	TCGA
TCGA.FB.A7DR.01	TCGA
TCGA.F2.6879.01	TCGA
TCGA.LB.A9Q5.01	TCGA
TCGA.HZ.A49I.01	TCGA
TCGA.3A.A9IZ.01	TCGA
TCGA.HZ.8315.01	TCGA
TCGA.2J.AAB6.01	TCGA
TCGA.2L.AAQL.01	TCGA
TCGA.L1.A7W4.01	TCGA
TCGA.2J.AABU.01	TCGA
TCGA.OE.A75W.01	TCGA
TCGA.IB.A7LX.01	TCGA
TCGA.FB.AAQ6.01	TCGA
TCGA.IB.AAUO.01	TCGA
TCGA.HZ.7920.01	TCGA
TCGA.F2.A44G.01	TCGA
TCGA.IB.AAUW.01	TCGA
TCGA.3A.A9IB.01	TCGA
TCGA.IB.A5SQ.01	TCGA
TCGA.F2.7276.01	TCGA
TCGA.IB.AAUQ.01	TCGA
TCGA.FB.A4P5.01	TCGA
TCGA.HZ.A77O.01	TCGA
TCGA.FB.AAQ2.01	TCGA
TCGA.HZ.8638.01	TCGA
TCGA.IB.7646.01	TCGA
TCGA.IB.AAUN.01	TCGA
TCGA.2L.AAQA.01	TCGA
TCGA.HV.A5A3.01	TCGA
TCGA.FB.AAQ1.01	TCGA
TCGA.IB.7886.01	TCGA
TCGA.HZ.8005.01	TCGA
TCGA.IB.7893.01	TCGA
TCGA.IB.7887.01	TCGA
TCGA.2L.AAQI.01	TCGA
TCGA.F2.A7TX.01	TCGA
TCGA.2J.AAB1.01	TCGA
TCGA.IB.A6UG.01	TCGA
TCGA.FB.AAQ3.01	TCGA
TCGA.US.A77G.01	TCGA
TCGA.3A.A9IL.01	TCGA
TCGA.3E.AAAY.01	TCGA
TCGA.3A.A9IN.01	TCGA
TCGA.YY.A8LH.01	TCGA
TCGA.3A.A9IO.01	TCGA
TCGA.3A.A9IJ.01	TCGA
TCGA.3A.A9I5.01	TCGA
TCGA.3A.A9IR.01	TCGA
TCGA.2L.AAQM.01	TCGA
TCGA.3A.A9I7.01	TCGA
TCGA.2J.AABH.01	TCGA
TCGA.IB.7885.01	TCGA
TCGA.US.A776.01	TCGA
TCGA.IB.7652.01	TCGA
TCGA.3A.A9IV.01	TCGA
TCGA.3A.A9IX.01	TCGA
TCGA.3A.A9IH.01	TCGA
TCGA.3A.A9IS.01	TCGA
TCGA.HV.A7OP.01	TCGA
TCGA.2J.AABI.01	TCGA
TCGA.HZ.7918.01	TCGA
TCGA.XN.A8T3.01	TCGA
TCGA.HV.AA8V.01	TCGA
TCGA.HZ.7924.01	TCGA
TCGA.FB.A4P6.01	TCGA
TCGA.3A.A9J0.01	TCGA
TCGA.S4.A8RM.01	TCGA
TCGA.2J.AAB4.01	TCGA
TCGA.XN.A8T5.01	TCGA
TCGA.FB.AAPZ.01	TCGA
TCGA.HZ.8001.01	TCGA
TCGA.2J.AABE.01	TCGA
TCGA.H8.A6C1.01	TCGA
TCGA.IB.A6UF.01	TCGA
TCGA.HZ.A49G.01	TCGA
TCGA.HZ.A4BK.01	TCGA
TCGA.IB.A5ST.01	TCGA
TCGA.HZ.A9TJ.01	TCGA
TCGA.F2.A44H.01	TCGA
TCGA.M8.A5N4.01	TCGA
TCGA.S4.A8RO.01	TCGA
TCGA.IB.8127.01	TCGA
TCGA.F2.A8YN.01	TCGA
TCGA.XD.AAUL.01	TCGA
TCGA.HZ.A49H.01	TCGA
TCGA.2J.AABK.01	TCGA
TCGA.IB.A7M4.01	TCGA
TCGA.IB.A5SP.01	TCGA
TCGA.Z5.AAPL.01	TCGA
TCGA.2J.AABP.01	TCGA
TCGA.IB.8126.01	TCGA
TCGA.HZ.8519.01	TCGA
TCGA.2J.AABO.01	TCGA
TCGA.2J.AABR.01	TCGA
TCGA.IB.AAUP.01	TCGA
TCGA.XD.AAUG.01	TCGA
TCGA.Q3.A5QY.01	TCGA
TCGA.IB.AAUV.01	TCGA
TCGA.XD.AAUH.01	TCGA
TCGA.H6.8124.01	TCGA
TCGA.YH.A8SY.01	TCGA
TCGA.LB.A8F3.01	TCGA
TCGA.YB.A89D.01	TCGA
TCGA.IB.AAUR.01	TCGA
TCGA.HZ.A77P.01	TCGA
TCGA.2J.AABT.01	TCGA
TCGA.HZ.7923.01	TCGA
TCGA.F2.6880.01	TCGA
TCGA.HV.A5A5.01	TCGA
TCGA.IB.AAUT.01	TCGA
TCGA.RB.AA9M.01	TCGA
TCGA.HV.A7OL.01	TCGA
TCGA.IB.AAUU.01	TCGA
TCGA.HV.A5A4.01	TCGA
TCGA.FB.AAPS.01	TCGA
TCGA.IB.AAUS.01	TCGA
TCGA.HZ.A4BH.01	TCGA
TCGA.Q3.AA2A.01	TCGA
TCGA.2J.AAB8.01	TCGA
TCGA.HZ.A77Q.01	TCGA
TCGA.RL.AAAS.01	TCGA
TCGA.IB.AAUM.01	TCGA
TCGA.HZ.A8P1.01	TCGA
TCGA.HZ.7922.01	TCGA
TCGA.HZ.A8P0.01	TCGA
